Name,Salary1718,N1718,Salary1819,N1819,Salary1920,N1920,Salary2021,N2021
VARIAN.MEDICAL.SYS,7.5,4,7.5,6,-1,-1,-1,-1
SAGITEC,3.75,5,7.5,10,5,3,4,2
RYUSSI.TECHNOLOGIES,-1,-1,7.5,2,7.5,1,7.5,1
64SQUARES,-1,-1,-1,-1,-1,-1,7.5,1
ANCHANTO,-1,-1,-1,-1,-1,-1,7.5,0
SCREEN.MAGIC,-1,-1,-1,-1,-1,-1,7.3,4
FINASTRA,-1,-1,-1,-1,7.26,20,-1,-1
NICE,6,10,6,8,7,8,7.25,11
TCS.DIGITAL,-1,-1,7.2,9,7,5,7,29
ALEFEDGE,-1,-1,-1,-1,6,1,7.04,7
FINANCIAL.SOFWARE.SYSTEMS,-1,-1,-1,-1,7,0,-1,-1
MUSIGMA,-1,-1,7,13,7,7,-1,-1
MINIORANGE,-1,-1,6,15,7,4,6,20
UBISOFT,5.6,5,5.62,0,7,0,-1,-1
TIBCO,-1,-1,-1,-1,-1,-1,7,2
ENTHRALLTECH,-1,-1,-1,-1,-1,-1,7,3
BUDDI.AI,-1,-1,-1,-1,-1,-1,7,2
ECS.INFOSOLUTIONS,-1,-1,7,0,-1,-1,-1,-1
MOBIKASA,-1,-1,-1,-1,7,0,-1,-1
MEDLY.PHARMACY,-1,-1,-1,-1,-1,-1,7,3
WINJIT.TECHNOLOGIES,-1,-1,7,10,6.22,1,4.5,1
DEQODE,-1,-1,-1,-1,6.95,3,6.5,2
CAPGEMINI,3.1,3,6.8,5,6.8,4,3.8,6
COTIVITI,6.77,1,-1,-1,-1,-1,-1,-1
COGNIZANT,-1,-1,-1,-1,4,3,6.75,1
SOPHOS,6,4,6.52,2,-1,-1,6.3,8
FIAT.INDIA.AUTOMOBILE,-1,-1,-1,-1,6.5,2,-1,-1
GROWISTO,-1,-1,-1,-1,-1,-1,6.5,0
SHORELINE,-1,-1,-1,-1,6.5,0,-1,-1
PLANETSPARK,-1,-1,-1,-1,-1,-1,6.5,3
HITACHI.VANTARA,-1,-1,-1,-1,-1,-1,6.5,0
ACCENTURE,3.5,24,4,37,-1,-1,6.5,2
PURPLLE.COM,-1,-1,-1,-1,-1,-1,6.5,0
RIA.ADVISORY,-1,-1,6.5,2,6,13,5.5,6
DEEPTEK,-1,-1,-1,-1,6.5,1,-1,-1
BIZAMICA.SOFTWARE,-1,-1,-1,-1,-1,-1,6,2
NUMERATOR,-1,-1,-1,-1,6,2,-1,-1
REFLEXIS,6,4,6,3,6,3,-1,-1
SWASTHYA.AI,-1,-1,-1,-1,-1,-1,6,0
PTC.SOFTWARE,-1,-1,-1,-1,-1,-1,6,3
3EA,-1,-1,-1,-1,-1,-1,6,1
MEDIAOCEAN,6,8,6,6,6,7,-1,-1
TECHVERITO,-1,-1,-1,-1,-1,-1,6,0
WHIZ.AI,-1,-1,-1,-1,-1,-1,6,0
WEDNESDAY.SOLUTIONS,-1,-1,-1,-1,-1,-1,6,3
