Rakuten,0,36.14
CodeNation,0,31
PhonePe,1,30.5
Goldman Sachs,3,23
Avalara,0,22
Valuence Holdings,2,21.22
FinIQ,1,20
Deutsche Bank,13,19.63
Arista Networks,2,15.5
IDFC FIRST Bank,1,15
Codevita Live,1,14.4
Kylas,4,13.11
MindTickle,0,13
EPIKInDiFi,0,12.75
CrowdStrike,1,12.65
Avaya,5,12.07
CakeSoft Technologies,9,12
Druva,0,12
Espressif,3,12
ION,5,12
rtCamp,0,12
Symbl.ai,1,12
Uolo.com,0,12
Extramarks Education,0,11.5
Veritas,2,11.34
PharmEasy,0,11
Ciena,0,10.5
Jombay,1,10
L&T Infotech,1,10
Platform9 Systems,5,10
UBS,3,10
Mastercard,14,9.69
Moxie,0,9.6
PubMatic,1,9.52
Hexaview Technologies,0,9
IDeaS A SAS,2,9
RackWare Technologies,6,9
RBL Bank,4,9
Sedemac Mechatronics,1,9
Siemens,7,9
Tracelink,5,9
ZS Associates,24,8.93
Schlumberger,2,8.8
Salesforce,2,8.57
EQ Technologic,12,8.5
Fabric Inc,0,8.5
FlexTrade,2,8.5
Quantiphi,9,8.5
Acquia,9,8.38
ACI Worldwide,0,8.25
Altizon Inc.,3,8.25
Barclays,33,8
CLSA,1,8
Delhivery,0,8
ElasticRun,1,8
Helpshift Technologies,5,8
Icertis,6,8
Sell.do,3,7.87
64squares,1,7.5
Anchanto,0,7.5
Ryussi Technologies,1,7.5
Screen Magic,4,7.3
NICE,11,7.25
AlefEdge,7,7.04
BUDDI.AI,2,7
EnthrallTech,3,7
HSBC,33,7
Medly Pharmacy,3,7
TCS Digital,29,7
TIBCO,2,7
Cognizant,1,6.75
Jaro Education,0,6.6
Accenture,2,6.5
Deqode,2,6.5
Growisto,0,6.5
Hitachi Vantara,0,6.5
PlanetSpark,3,6.5
Purplle.com,0,6.5
SE2,4,6.5
Persistent,4,6.41
udChalo,4,6.35
Mindstix Software Labs   ,2,6.3
Sophos,8,6.3
3EA,1,6
bizAmica Software,2,6
ElasticRun,2,6
K12 Techno Services,7,6
miniOrange,20,6
PTC Software,3,6
Swasthya AI,0,6
TechVerito,0,6
Vertical Fox,2,6
Wednesday Solutions,3,6
Whiz.ai,0,6
Amura,0,5.5
oneXtel,2,5.5
RIA Advisory,6,5.5
ABS,0,5.37
Apisero,12,5.1
ADP,1,5
Amdocs,30,5
BrightChamps,0,5
Cloudwerx,2,5
Hexaware Technologies,3,5
Infogen Lab,5,5
McKinley & Rice,0,5
RedPanda,3,5
TripStack,0,5
Unschool,0,5
Scalex Technology,0,4.8
Zocdoc,1,4.8
Accenture,23,4.5
Amura,2,4.5
Winjit Technologies,1,4.5
Yardi,25,4.5
Ernst & Young,0,4.37
Vodafone,10,4.25
Media.net,0,4.2
Eumentis Cloud,2,4.07
Cognizant,25,4.01
Agiliad,12,4
GNS Engineering India,0,4
IGT Solutions,0,4
iQ Digital,1,4
JISA Softech,1,4
Kylas,0,4
Rayden Design,0,4
Rudder Analytics,0,4
Sagitec,2,4
Sell.do,0,4
Vadini Infocenter,0,4
Bitwise,0,3.84
Capgemini,6,3.8
Centiro,0,3.8
Aligned Automation,2,3.75
Endurance International,1,3.72
Flo Group,4,3.5
HCL Technologies,0,3.5
Infosys,3,3.5
NTT Data,2,3.5
Product Dossier,6,3.5
Zlen,0,3.5
TCS Ninja,7,3.36
e-Zest,1,3.2
Atos,6,3.1
IntegriChain Inc.,0,3
Inteliment,0,3
Talentio,0,3
