Bizreach,0,63
Rakuten,1,33.39
CodeNation,0,31
Deutsche Bank,10,14.3
Cohesity,0,14
Jaro Education,0,12.02
Accolite,1,12
Wissen Technology,2,12
AVAYA,5,12
ION,5,12
HSBC,7,12
Cadence Design,2,11
Schlumberger,3,10.77
Dell EMC,0,10
Rubique,1,10
Byjus,1,10
Sapient,7,10
Credit Suisse,10,9.42
Ittiam,3,9.37
RW,1,9
Siemens,14,9
UBS,5,8.5
ACI Worldwide,7,8.5
eQ Technologic,13,8.5
Amadeus,1,8.35
Imagination Technologies,0,8
TechRacers,1,8
Medcords,3,8
CLSA,15,8
Barclays,28,8
Ryussi Technologies,2,7.5
eQ Technologic,5,7.5
Varian Medical sys,6,7.5
Sagitec,10,7.5
TCS Digital,9,7.2
ECS InfoSolutions,0,7
RW,3,7
Winjit Technologies,10,7
MuSigma,13,7
FinIQ,14,7
HSBC,33,7
Capgemini,5,6.8
Sophos,2,6.52
RIA Advisory,2,6.5
ZS Associates,10,6.5
Persistent,1,6.4
TechRacers,4,6.35
rtCamp,0,6
Schlumberger,1,6
Reflexis,3,6
Mediaocean,6,6
NICE,8,6
MiniOrange,15,6
Ubisoft,0,5.62
evosys,0,5.5
Hitachi Consulting,1,5.5
Tech Mahindra,3,5.5
Honeywell,7,5.5
Paragyte,0,5.25
LiveHealth,1,5.1
Apisero,0,5
Altimetrik,1,5
Shoptimize,1,5
Times Internet,2,5
Raja Software,3,5
RedPanda,3,5
Amdocs,9,5
Yardi,16,5
Icertis,1,4.5
Globant,3,4.5
Amura,3,4.5
Avalara,4,4.5
Bitwise,1,4.4
Persistent,11,4.4
Vodafone,3,4.25
Tripstack,4,4.25
LTI,17,4.18
IBM,3,4.1
Hindustan Times,0,4
Kantar IMRB,0,4
Coreflex (Xanadutec),3,4
Vigoursoft,5,4
Accenture,37,4
Tata Communications,3,3.8
Axis Bank,3,3.8
Capgemini,13,3.8
Cybage,1,3.6
WisdmLabs,1,3.6
Infosys,13,3.6
Mithi Software,0,3.5
Coffee Day,0,3.5
Agiliad,2,3.5
Tech Mahindra,5,3.5
TCS Ninja,13,3.36
e-Zest,2,3.25
Atos,17,3.1
Prolifics,0,3
eInfochip,7,3
