Rakuten,4,27
Metro Computers,1,23.92
Morgan Stanley,4,16.17
AVAYA,5,12
Deutsche Bank,7,12
ION,5,12
Toshiba,3,12
Cadence Design,4,10.97
Accolite,2,10
Ola,2,10
Simple token,5,9.6
Credit Suisse,1,9.5
Ittiam,2,9.37
Veritas,10,9.26
Byjus,4,9
RackWare Technologies,8,9
Siemens,8,9
UBS,5,8.5
Barclays,23,8
CLSA,8,8
Omniscient,3,8
Varian Medical sys,4,7.5
ACI Worldwide,3,7
FinIQ,7,7
HSBC,5,7
Cotiviti,1,6.77
ZS Associates,1,6.5
Techracers,4,6.2
Amura,3,6
eQ Technologic,16,6
Mediaocean,8,6
NICE,10,6
Persistent,1,6
Reflexis,4,6
Sophos,4,6
Schlumberger,6,5.75
Ubisoft,5,5.6
Paragyte,1,5.25
Cutshort,1,5
QTC Digital,5,5
Raja Software,3,5
Yardi,14,5
Elastic Run,1,4.5
Opus Consulting,9,4.5
RedPanda,4,4.5
Continental,1,4.25
E-Zest,3,4.25
L&T Infotech,55,4.1
Media4u,1,4
TripStack,10,4
Sagitec,5,3.75
Cybage,2,3.6
IDMission,4,3.6
Accenture,24,3.5
Atos,22,3.5
WisdmLabs,3,3.5
Network18,1,3.4
TCS,29,3.36
Capgemini,3,3.1
Johnson Controls,3,3
Sankey Solution,1,3
